City;Ward;Poverty Index (Score);Poverty Index (Quantile);Infrastructure Index (Score);Infrastructure Index (Quantile);Livelihood Index (Score);Livelihood Index (Quantile);Land Tenure and Housing Index (Score);Land Tenure and Housing Index (Quantile);Total Population
Dhaka South;41;78;4;83;4;59;3;63;3;370
Dhaka South;42;83;4;75;4;66;4;74;4;526
Dhaka South;43;62;2;51;1;67;4;50;2;1195
Dhaka South;44;72;3;69;3;68;4;60;3;1754
Dhaka South;45;78;4;79;4;62;3;64;3;2176
Dhaka South;46;65;2;52;1;38;1;75;4;1681
Dhaka South;47;76;4;73;3;55;2;58;3;11875
Dhaka South;48;73;3;84;4;55;2;58;3;1685
Dhaka South;49;62;2;65;3;58;3;44;1;2309
Dhaka South;50;75;4;75;4;43;1;86;4;830
Dhaka South;51;73;3;75;4;72;4;69;4;4836
Dhaka South;52;75;4;72;3;62;3;58;3;1245
Dhaka South;53;60;2;57;2;43;1;55;2;48400
Dhaka South;54;61;2;64;3;40;1;32;1;12108
Dhaka South;55;50;1;34;1;56;3;49;2;3690
Dhaka South;56;67;3;64;3;59;3;51;2;18505
Dhaka South;57;60;2;50;1;70;4;59;3;1960
Dhaka South;58;55;1;52;1;49;2;53;2;7746
Dhaka South;59;52;1;62;2;56;3;50;2;8831
Dhaka South;60;64;2;62;2;53;2;71;4;3270
Dhaka South;61;69;3;67;3;66;4;59;3;508
Dhaka South;62;68;3;70;3;55;2;62;3;2079
Dhaka South;63;58;2;49;1;54;2;61;3;6621
Dhaka South;64;71;3;55;2;45;1;71;4;1804
Dhaka South;65;60;2;59;2;55;2;54;2;4030
Dhaka South;66;83;4;67;3;76;4;87;4;735
Dhaka South;67;69;3;62;2;63;4;64;3;3437
Dhaka South;68;74;4;66;3;36;1;68;3;11358
Dhaka South;69;74;4;77;4;54;2;55;2;3435
Dhaka South;70;64;2;45;1;45;1;73;4;8800
Dhaka South;71;36;1;44;1;22;1;21;1;11675
Dhaka South;72;66;3;67;3;41;1;42;1;4450
Dhaka South;73;56;1;60;2;50;2;43;1;7980
Dhaka South;74;66;3;55;2;41;1;79;4;9250
Dhaka South;75;57;2;35;1;46;1;77;4;3020
